City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,syracuse,37.0881,15.2792,282.92,68,18,1.78,IT,1669944345
175,linhares,-19.3911,-40.0722,295.34,97,100,1.36,BR,1669944547
176,lasa,46.6166,10.7002,273.72,83,100,0.62,IT,1669944547
177,jizan,17.3333,42.6667,298.67,75,6,1.56,SA,1669944548
178,lilongwe,-13.9669,33.7873,291.72,84,100,0.95,MW,1669944548
179,jawhar,2.7809,45.5005,296.82,88,62,2.13,SO,1669944548
180,gazanjyk,39.2446,55.5154,276.5,26,100,5.98,TM,1669944549
181,ust-ilimsk,58.0006,102.6619,248.64,96,100,2.49,RU,1669944355
182,arteaga,18.4667,-102.4167,291.95,76,69,0.67,MX,1669944549
183,bluff,-46.6,168.3333,283.6,58,61,7.88,NZ,1669944388
184,kaa-khem,51.6833,94.7333,241.94,93,33,1.08,RU,1669944550
185,cabanglasan,8.1214,125.3275,298.88,79,92,1.52,PH,1669944550
186,bredasdorp,-34.5322,20.0403,290.56,83,90,4.12,ZA,1669944550
187,khandyga,62.6667,135.6,238.58,99,100,0.34,RU,1669944551
188,laguna,38.421,-121.4238,282.62,91,0,3.6,US,1669944551
189,yima,34.7381,111.8839,271.33,26,97,1.44,CN,1669944552
190,ankara,39.9199,32.8543,279.99,100,40,0.0,TR,1669944552
191,zyryanka,65.75,150.85,240.95,93,99,4.02,RU,1669944552
192,clyde river,70.4692,-68.5914,248.28,77,100,3.6,CA,1669944553
193,carnarvon,-24.8667,113.6333,296.16,66,4,5.48,AU,1669944553
194,batagay,67.6333,134.6333,243.64,98,100,1.43,RU,1669944553
195,pevek,69.7008,170.3133,260.05,95,100,5.27,RU,1669944554
196,pitimbu,-7.4706,-34.8086,299.48,78,96,5.23,BR,1669944554
197,minsk,53.9,27.5667,265.01,96,100,2.48,BY,1669944555
198,acajutla,13.5928,-89.8275,300.28,70,100,1.6,SV,1669944555
199,sitka,57.0531,-135.33,272.09,69,100,2.06,US,1669944398
200,kamenka,51.3223,42.7678,267.42,72,97,2.9,RU,1669944555
201,esqueda,30.7167,-109.5833,286.21,28,52,3.44,MX,1669944556
202,hualmay,-11.0964,-77.6139,292.97,85,1,3.56,PE,1669944556
203,ceyhan,37.0247,35.8175,288.34,82,37,1.34,TR,1669944556
204,grand gaube,-20.0064,57.6608,296.14,75,65,3.75,MU,1669944557
205,saryg-sep,51.5,95.6,240.12,98,44,1.07,RU,1669944557
206,lotoshino,56.2267,35.6414,261.42,93,92,2.11,RU,1669944557
207,luderitz,-26.6481,15.1594,290.09,87,0,9.25,NA,1669944558
208,douglas,41.3,-96.167,280.15,51,0,9.26,US,1669944558
209,manzhouli,49.6,117.4333,254.46,89,92,5.22,CN,1669944559
210,farmington,36.7281,-108.2187,282.47,37,0,2.57,US,1669944559
211,avera,33.194,-82.5271,276.88,47,84,3.02,US,1669944559
212,susangerd,31.5608,48.1831,292.42,59,0,4.54,IR,1669944560
213,cidreira,-30.1811,-50.2056,295.36,95,100,6.23,BR,1669944560
214,moctezuma,29.8,-109.6667,290.81,30,8,1.2,MX,1669944560
215,nanortalik,60.1432,-45.2371,267.79,68,13,4.37,GL,1669944561
216,surazh,53.0175,32.3918,268.32,85,100,5.1,RU,1669944561
217,kannad,20.2667,75.1333,288.68,49,0,1.54,IN,1669944561
218,hopfgarten,50.9833,11.2667,272.99,93,100,0.45,DE,1669944562
219,nuuk,64.1835,-51.7216,265.86,44,100,11.18,GL,1669944562
220,saint george,37.1041,-113.5841,285.48,40,100,1.34,US,1669944546
221,flin flon,54.7682,-101.865,251.24,97,100,2.68,CA,1669944563
222,jiayuguan,39.8167,98.3,262.79,72,100,1.06,CN,1669944563
223,flinders,-34.5833,150.8552,293.81,71,69,2.68,AU,1669944563
224,rebrikha,53.0733,82.3408,253.25,95,27,2.95,RU,1669944564
225,vilhena,-12.7406,-60.1458,293.16,99,100,1.9,BR,1669944564
226,abu dhabi,24.4667,54.3667,297.02,69,20,0.0,AE,1669944466
227,conceicao da barra,-18.5933,-39.7322,296.83,92,100,1.51,BR,1669944564
228,bathsheba,13.2167,-59.5167,298.73,91,75,7.72,BB,1669944565
229,talnakh,69.4865,88.3972,255.29,99,100,1.99,RU,1669944565
230,silver city,32.7701,-108.2803,283.53,38,0,2.57,US,1669944566
